name,address,district,province,postalCode,tel,region
Spa รัฐประหาร 1,845/23 ถนนถาวรรัตน,District 3,Udon Thani,22929,0707400688,Northeastern
Spa และ 2,336/39 ถนนโพธิสัตย์,District 38,Surat Thani,11143,0753012153,Southern
Spa ปกครอง 3,487/46 ถนนถนัดรบ,District 15,Chiang Mai,21037,0653870470,Northern
Spa เรื่อย 4,878/43 ถนนบุญญาภิรมย์,District 27,Nakhon Si Thammarat,14285,0798323557,Southern
Spa หนู 5,516/7 ถนนถนอมพล,District 50,Phitsanulok,22070,0702046238,Northern
Spa หมด 6,954/31 ถนนนิติสาขา,District 10,Pattaya,75008,0702738280,Eastern
Spa ตะปู 7,436/39 ถ.ดีตพันธุ์,District 17,Udon Thani,32905,0984644242,Northeastern
Spa องค์ 8,650/12 ถนนถมังรักษสัตว์,District 22,Rayong,73890,0996243121,Eastern
Spa เพียง 9,680/34 ถนนธรรมฤดี,District 35,Chonburi,17235,0722936394,Eastern
Spa สัญญา 10,580/39 ถนนดาวกระจาย,District 47,Phuket,47688,0644503724,Southern
Spa ได้แก่ 11,588/49 ถนนดุริยพันธุ์,District 30,Chonburi,20231,0826307154,Eastern
Spa เกม 12,671/23 ถ.นิลวรรณ,District 18,Rayong,99359,0652355695,Eastern
Spa ยูทูบ 13,658/47 ถ.สาระพันธ์,District 37,Lampang,41553,0811539091,Northern
Spa รถบัส 14,485/28 ถ.ธัญเสถียร,District 39,Chiang Rai,18042,0849097992,Northern
Spa เชื้อโรค 15,582/3 ถ.ดุริยพันธุ์,District 19,Nakhon Si Thammarat,76926,0771786228,Southern
Spa ซ่อน 16,845/41 ถ.เดชวา,District 21,Chiang Rai,79007,0954487933,Northern
Spa ไค้หัน 17,160/43 ถ.สันตะวงศ์,District 7,Phuket,25453,0627640187,Southern
Spa หาย 18,4/9 ถนนนำธวัช,District 28,Bangkok,26250,0681797843,Central
Spa กรดไหลย้อน 19,93/43 ถนนยะผา,District 50,Phuket,38334,0796101353,Southern
Spa เมล็ด 20,617/50 ซ.ธูปหอม,District 5,Nakhon Si Thammarat,31375,0790093897,Southern
Spa ตั้งแต่ 21,540/15 ถ.ธรรมทินนา,District 29,Pattaya,49819,0979458776,Eastern
Spa หลบ 22,170/3 ถนนซาซุม,District 29,Bangkok,40255,0999720221,Central
Spa กิโลเมตร 23,948/12 ถนนเลขะพันธุ์,District 24,Lampang,77664,0625390615,Northern
Spa สดชื่น 24,268/4 ถนนพรสีมา,District 50,Lampang,95556,0835452943,Northern
Spa ดึก 25,615/44 ถ.ทรัพย์สาร,District 18,Phitsanulok,76729,0865295767,Northern
Spa ไชโย 26,977/10 ถนนบุตดา,District 23,Pattaya,18619,0680845085,Eastern
Spa แก้ว 27,797/33 ถ.ถิรสวัสดิ์,District 1,Chiang Rai,78321,0740251262,Northern
Spa คบ 28,336/36 ถนนบินดี,District 11,Chiang Rai,10590,0786930802,Northern
Spa รถโดยสาร 29,339/43 ถ.เณรานุสนธิ์,District 2,Phuket,52126,0975711612,Southern
Spa ประพฤติ 30,915/20 ถ.ตัณฑนุช,District 11,Phuket,15333,0637840392,Southern
Spa ลูกตา 31,152/43 ถนนอัตตนาถ,District 15,Rayong,68074,0841846114,Eastern
Spa สดชื่น 32,499/25 ถ.นักสำหรวจ,District 28,Nakhon Si Thammarat,58050,0856150289,Southern
Spa อธิษฐาน 33,758/48 ถ.ธรรมทินนา,District 40,Phitsanulok,10059,0868639123,Northern
Spa เมตตา 34,901/48 ถ.ขุนดำ,District 34,Phuket,67228,0673996725,Southern
Spa ขันน้ำ 35,102/28 ถ.ถนัดหัตถกรรม,District 27,Chiang Mai,72164,0715766581,Northern
Spa แม้ 36,921/18 ถนนเธียรายัน,District 27,Rayong,57263,0719228552,Eastern
Spa จะไปพั่ง 37,76/2 ถนนไทนิยม,District 6,Surat Thani,53049,0674103494,Southern
Spa ฉีด 38,735/32 ถนนราชมณี,District 23,Chiang Mai,54675,0617531006,Northern
Spa คลาน 39,222/28 ถ.ธรรมทินนา,District 38,Pattaya,72420,0707804860,Eastern
Spa ทด 40,547/12 ถนนเขียวขุ้ย,District 46,Udon Thani,91320,0659921204,Northeastern
Spa บริโภค 41,533/4 ถ.ดวงทับทิม,District 38,Bangkok,72113,0835232384,Central
Spa บูชา 42,675/33 ถ.ซูสารอ,District 33,Chiang Mai,91129,0942867359,Northern
Spa เกาหลี 43,440/25 ถ.โพธิสัตย์,District 16,Nakhon Si Thammarat,44906,0781380846,Southern
Spa ทดลอง 44,116/48 ถ.ฉัพพรรณธนกูร,District 30,Phuket,92453,0836747632,Southern
Spa มลายู 45,61/34 ถ.ศาสตร์ศิลป์,District 3,Chiang Rai,89894,0921723286,Northern
Spa อินสตาแกรม 46,591/44 ถนนหิรัญสาลี,District 19,Chiang Mai,99491,0842845047,Northern
Spa รถบัส 47,967/16 ถ.นิลสลัว,District 5,Pattaya,88223,0838811657,Eastern
Spa แก้ว 48,464/23 ถนนศรีสัตย์,District 35,Lampang,28822,0806408597,Northern
Spa คาว 49,827/40 ซอยนุชแนวนุ่ม,District 15,Nakhon Si Thammarat,27740,0743714019,Southern
Spa แท็กซี่ 50,596/12 ถนนบุนยาภิสนท์,District 24,Chonburi,96997,0923312415,Eastern
Spa ออนซอนเด๊ 51,710/8 ถ.ถาวรายุศม์,District 8,Phitsanulok,68158,0946515051,Northern
Spa ด้วย 52,685/41 ถนนถนัดอาวุธ,District 31,Chiang Mai,74871,0708696501,Northern
Spa จ๋า 53,988/33 ซอยนกทอง,District 10,Phuket,52917,0746329944,Southern
Spa กิจกรรม 54,347/23 ถนนแหยมศิริ,District 32,Songkhla,75033,0784521096,Southern
Spa คั่ว 55,837/9 ถ.ธรรมนิยม,District 49,Pattaya,47931,0734508019,Eastern
Spa สารวัตร 56,505/19 ถนนแก้วอยู่,District 47,Bangkok,66275,0757512035,Central
Spa แข่งขัน 57,195/36 ถนนธูปหอม,District 17,Rayong,99361,0809587286,Eastern
Spa ไอโอเอส 58,358/17 ถ.มิ่งขวัญ,District 37,Khon Kaen,61586,0974806226,Northeastern
Spa และ 59,37/40 ถ.ด้วงโสน,District 28,Surat Thani,98886,0708706981,Southern
Spa สนอง 60,843/15 ถ.ทวนทอง,District 41,Chiang Rai,52129,0905781911,Northern
Spa ด้าย 61,866/23 ซ.นับเนื่องนอ,District 7,Chonburi,52576,0734619887,Eastern
Spa เอสซีบี 62,703/41 ถนนนุ่มกัน,District 42,Pattaya,48928,0787555440,Eastern
Spa กระจาย 63,728/21 ซอยนักรบ,District 8,Udon Thani,56480,0709477748,Northeastern
Spa กล 64,708/3 ถนนตรีเภรินทร์,District 30,Chiang Rai,95929,0631846288,Northern
Spa สาธารณรัฐ 65,926/40 ถนนถนัดภาษา,District 47,Nakhon Ratchasima,62984,0936804941,Northeastern
Spa คะแนน 66,762/19 ถ.ตระกูลไม้เรียง,District 32,Bangkok,60845,0865756237,Central
Spa อิฐ 67,163/45 ถนนนำธวัช,District 49,Rayong,30884,0953212740,Eastern
Spa กล 68,7/10 ซ.ดุษฎีวนิช,District 7,Khon Kaen,44202,0807491452,Northeastern
Spa รถบัส 69,316/35 ถ.มนทอง,District 8,Chiang Mai,73069,0855519280,Northern
Spa เตา 70,99/16 ถ.เตชะกำพุ,District 42,Lampang,15388,0810392853,Northern
Spa ข้าวหมูแดง 71,995/10 ถนนถนัดพิมพการ,District 20,Nakhon Ratchasima,79937,0644259646,Northeastern
Spa แหย่ 72,499/18 ถ.บุญส่ง,District 36,Khon Kaen,28842,0842851705,Northeastern
Spa เนื่องจาก 73,648/34 ซอยธรรมฤดี,District 24,Nakhon Si Thammarat,89091,0785847051,Southern
Spa ลูกชิ้น 74,98/7 ถ.เดชคุ้ม,District 7,Phuket,83494,0864235087,Southern
Spa เสียบ 75,167/49 ถนนประจันตะเสน,District 23,Lampang,63088,0854624722,Northern
Spa น้ำเย็น 76,256/29 ถ.ธูปะวิโรจน์,District 43,Phuket,53224,0806211610,Southern
Spa เป็น 77,103/25 ถ.บุตราช,District 49,Phitsanulok,57938,0771035265,Northern
Spa วิชาชีพ 78,978/18 ซ.นพตระกูล,District 40,Khon Kaen,75156,0698869028,Northeastern
Spa เผื่อ 79,681/32 ถนนมิ่งขวัญ,District 43,Lampang,51003,0901865421,Northern
Spa สุขภาพ 80,740/38 ถนนทรงโกมล,District 17,Chiang Mai,65765,0906743649,Northern
Spa แสง 81,387/3 ถ.ธรรมทินนา,District 23,Nakhon Ratchasima,58883,0730356073,Northeastern
Spa จาก 82,962/34 ถนนนิษประปัญจ์,District 25,Songkhla,53324,0611859159,Southern
Spa ไหน 83,969/3 ถนนฉายแสง,District 28,Nakhon Si Thammarat,34036,0600605535,Southern
Spa สีเทา 84,626/44 ถนนฉายแสง,District 19,Songkhla,63196,0941504839,Southern
Spa ตรวจ 85,120/12 ถ.ถิรสวัสดิ์,District 49,Rayong,70382,0912750649,Eastern
Spa ตะแกรง 86,855/28 ถนนตะละภัฏ,District 39,Bangkok,71270,0929268366,Central
Spa พนมมือ 87,997/27 ถ.จ้อยนุแสง,District 14,Songkhla,85282,0604281614,Southern
Spa ย้ำ 88,695/2 ถนนถนัดกลึง,District 23,Pattaya,46902,0780963219,Eastern
Spa ดี 89,812/5 ถนนโพธิสัตย์,District 27,Bangkok,39057,0660320448,Central
Spa ชนิด 90,872/21 ถ.ธูปหอม,District 50,Lampang,73193,0839585721,Northern
Spa ดาวเทียม 91,970/40 ถนนนุชแนวนุ่ม,District 42,Lampang,15488,0645724658,Northern
Spa ทวิตเตอร์ 92,254/16 ถนนนิระหานี,District 5,Nakhon Ratchasima,14693,0957139266,Northeastern
Spa ควร 93,861/23 ถนนถนัดอักษร,District 24,Surat Thani,54652,0964152749,Southern
Spa ร่มรื่น 94,815/1 ถ.ขำเอนก,District 39,Chiang Mai,52417,0740209697,Northern
Spa แอนดรอยด์ 95,36/23 ถ.วาทา,District 47,Nakhon Si Thammarat,39191,0611713317,Southern
Spa โต 96,519/40 ถนนแต้กุล,District 44,Songkhla,34339,0748670736,Southern
Spa หน้ากาก 97,35/37 ถ.คำลือ,District 26,Chonburi,17452,0674529286,Eastern
Spa พยาธิ 98,697/25 ถ.นาฏคายี,District 44,Khon Kaen,79491,0949720174,Northeastern
Spa แข็ง 99,759/15 ถนนธูปะวิโรจน์,District 2,Khon Kaen,46655,0885212239,Northeastern
Spa กิโลเมตร 100,182/34 ถนนไทไชโย,District 49,Lampang,26887,0992795774,Northern
